,DTE_AEP,KIM_O,T_VZ,UNH_CVS,HD_LOW,JPM_BAC
DTE_AEP,1.0,0.06615453099097302,0.02601144141805429,-0.037233896916904534,-0.043238231045376094,-0.11995153490909166
KIM_O,0.06615453099097302,1.0,0.020253490113440863,0.09381499460504376,-0.010252603314162253,-0.01376166621213248
T_VZ,0.02601144141805429,0.020253490113440863,1.0,-0.0662183271405824,0.026254721913905203,0.0087345469664373
UNH_CVS,-0.037233896916904534,0.09381499460504376,-0.0662183271405824,1.0,0.01922750775513756,0.07637615129573236
HD_LOW,-0.043238231045376094,-0.010252603314162253,0.026254721913905203,0.01922750775513756,1.0,0.016602127016450374
JPM_BAC,-0.11995153490909166,-0.01376166621213248,0.0087345469664373,0.07637615129573236,0.016602127016450374,1.0
