Pair,Stock A,Stock B,alpha_hat,beta_hat,EG Test Statistic,p-value,1%,5%,10%,"Rejects H0 (cointegrated, as desired)"
DTE_AEP,DTE,AEP,-0.5542241649698403,1.2041541582601172,-4.60473931689906,0.000819669037366976,-3.9406052338851767,-3.360581327756702,-3.0613903850732527,True
KIM_O,KIM,O,-3.043604006986839,1.4922692139649512,-4.520621292685653,0.001132509016180143,-3.9406052338851767,-3.360581327756702,-3.0613903850732527,True
T_VZ,T,VZ,-3.870195550643362,1.7893466154741264,-4.440276465789526,0.001532597983678442,-3.9406052338851767,-3.360581327756702,-3.0613903850732527,True
UNH_CVS,UNH,CVS,1.672465131079547,0.9981226038291962,-3.436175185445109,0.03848843546396116,-3.9406052338851767,-3.360581327756702,-3.0613903850732527,True
HD_LOW,HD,LOW,0.5513963266936894,0.980314118813252,-3.421958502016386,0.03996943231851761,-3.9406052338851767,-3.360581327756702,-3.0613903850732527,True
JPM_BAC,JPM,BAC,2.9151992700457496,0.5616646104325733,-3.4883151063229145,0.03344538151534182,-3.9406052338851767,-3.360581327756702,-3.0613903850732527,True
