Ticker,N,Mean,Std Dev,Min,Max
ADP,502,0.0007647191834208378,0.015162470561897108,-0.09380814959114758,0.07140954286342005
BAC,502,0.0002789359588197426,0.018390252213234936,-0.06585800463571045,0.06799665457834703
DAL,502,-0.00032740671866355806,0.026391501551427082,-0.13668129813575192,0.08869993097862006
F,502,0.0006937779485977392,0.028790812101367736,-0.1315242721898371,0.1103549908803445
FISV,502,-0.00020312942416278058,0.017782387089810617,-0.10562350720390778,0.049037910176191524
GM,502,-0.0003612169952843821,0.026130872613371714,-0.09337698772688618,0.09299707189135775
JPM,502,0.00023747698379159233,0.016343088131654523,-0.06343351069303349,0.060033105109746465
KO,502,0.0004924560982563295,0.010981731092470548,-0.07216855874633143,0.037942226332936535
MSFT,502,0.00022806920629876454,0.018335203443618345,-0.08029517615876802,0.07905887663841948
ORCL,502,0.0005598954527992858,0.01863636259968465,-0.06753785456919115,0.14508146334709693
PEP,502,0.0005580311212570217,0.010835159771474041,-0.06396548179360728,0.040972143895789515
UAL,502,-0.0001975318170779728,0.03154452276438373,-0.16263105330066496,0.08899775499650575
