,Total Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
EW,0.052111247472284905,0.08185452743873763,0.6639679283863342,-0.0783010059768936
MVA,0.9513784282074009,0.2924234258397719,2.4434097852386265,-0.1371535946198582
MRB,-0.02818375542612428,0.07755176350240867,-0.3314584779105352,-0.09979073399023819
MRR,0.0139202035621111,0.07573421013788195,0.2210212481223593,-0.08079751553829462
